régionCNC,N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2022,entrées 2021,évolution entrées,tranche d'entrées,programmateur,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude,geolocalisation
2,252712,LES 2 SCENES,ILE-DE-FRANCE,PLACE HENRI DUNANT,78380,Maule,6182,78,78301,Maule,10771,03-Grande couronne,1,102,50,1405,22048,12608,74.87309645,De 20 à 30 000 entrées,,,E,RDJPPR,FIXE,,C,246,213,1,67.92212874,16.30307181,10.0714146,5.703384856,149,45.0107611,48.916554,1.821165,"48.916554, 1.821165"
2,256983,CINEMA CONFLUENCES MENNECY,ILE-DE-FRANCE,ZAC MONTVRAIN II,91386,Mennecy,15914,91,851,Paris,10949158,03-Grande couronne,3,324,53,4382,70123,41885,67.41793005,De 50 à 80 000 entrées,,,C,,FIXE,,B,169,127,96,42.09974606,43.69869486,10.58288549,3.618673596,59,10.30975019,48.564849,2.441479,"48.564849, 2.441479"
2,260904,ESPACE CULTUREL ROBERT-DOISNEAU,ILE-DE-FRANCE,16 AV DE LATTRE DE TASSIGNY,92048,Meudon,46517,92,851,Paris,10949158,02-Petite Couronne,1,268,48,473,10627,4487,136.8397593,De 10 à 20 000 entrées,,,NON,,FIXE,,B,187,137,0,72.78794403,16.62002153,6.275565124,4.316469322,108,51.09795479,48.7873,2.23254,"48.7873, 2.23254"
2,267481,CINEMA  11X20 14,ILE-DE-FRANCE,21 RUE DE LA CROIX-ROUGE,77298,Mons-en-Montois,455,77,0,Zone rurale,14908533,03-Grande couronne,1,48,36,421,2125,1539,38.07667316,De 2 à 5 000 entrées,,,E,RDJPPR,FIXE,,R,193,130,2,62.25882353,10.25882353,17.83529412,9.647058824,173,82.72941176,48.490092,3.148397,"48.490092, 3.148397"
2,272392,LE CYRANO,ILE-DE-FRANCE,114 AVENUE DE LA REPUBLIQUE,91421,Montgeron,24217,91,851,Paris,10949158,03-Grande couronne,1,329,49,1201,32749,16417,99.48224402,De 30 à 40 000 entrées,,,C,RDJP,FIXE,,B,216,162,3,64.3660697,15.45225318,13.71629922,6.465377901,167,75.85827892,48.703763,2.46109,"48.703763, 2.46109"
2,292377,LE BIJOU,ILE-DE-FRANCE,PLACE DE LA LIBERATION,93051,Noisy-le-Grand,69352,93,851,Paris,10949158,02-Petite Couronne,3,416,53,5052,97234,60006,62.04046262,De 80 à 100 000 entrées,,,C,RDJPPR,FIXE,,B,247,136,77,58.41499117,25.33812393,8.272241175,7.97464373,195,68.57322591,48.849023,2.552482,"48.849023, 2.552482"
2,302485,CINEPAL,ILE-DE-FRANCE,AVENUE DU 8 MAI 1945,91477,Palaiseau,35056,91,851,Paris,10949158,03-Grande couronne,4,545,53,5501,118104,76354,54.67951908,De 100 à 150 000 entrées,,,C,JP,FIXE,,B,260,169,80,40.13548354,42.58214663,11.79727649,5.48509335,158,26.45822158,48.71031,2.243459,"48.71031, 2.243459"
2,303445,CINEMA L'AVANT-SCENE,ILE-DE-FRANCE,"1, RUE ALSACE-LORRAINE",91479,Paray-Vieille-Poste,7885,91,851,Paris,10949158,03-Grande couronne,1,314,41,164,4923,2567,91.78028827,De 2 à 5 000 entrées,,,NON,,FIXE,,B,107,85,2,48.58729775,30.28254045,17.67688964,3.453272156,49,37.8893987,48.712693,2.363281,"48.712693, 2.363281"
2,313013,UGC PLAISIR,ILE-DE-FRANCE,1170 AVENUE DE SAINT GERMAIN,78490,PLAISIR,31243,78,851,Paris,10949158,03-Grande couronne,9,1279,53,15277,250552,142657,75.63246108,De 200 à 300 000 entrées,UGC,,NON,,FIXE,,B,201,138,133,25.19683152,59.1397334,12.44941899,3.214016082,49,1.410076655,48.827362,1.966638,"48.827362, 1.966638"
2,314451,ESPACE PAUL VALERY,ILE-DE-FRANCE,72 ET 74 AVENUE ARDOUIN,94059,Le Plessis-Trévise,19733,94,851,Paris,10949158,02-Petite Couronne,1,340,46,261,4359,3241,34.49552607,De 2 à 5 000 entrées,,,NON,,FIXE,,B,54,45,1,77.17366368,4.198210599,11.67699014,6.951135582,16,24.56985547,48.80535,2.578145,"48.80535, 2.578145"
2,317291,C2L POISSY,ILE-DE-FRANCE,18 RUE CHARLES DE GAULLE,78498,Poissy,40049,78,851,Paris,10949158,03-Grande couronne,5,973,53,7519,93001,61212,51.93262759,De 80 à 100 000 entrées,UGC,,NON,,FIXE,,B,197,132,102,35.12106365,48.86499403,12.40779104,3.606151283,70,6.054826653,48.92287,2.029616,"48.92287, 2.029616"
2,338332,CINOCHE,ILE-DE-FRANCE,ALLEE JEAN WIENER,91521,Ris-Orangis,29829,91,851,Paris,10949158,03-Grande couronne,3,706,53,4172,53396,31580,69.08169728,De 50 à 80 000 entrées,,,C,RDJPPR,FIXE,,B,303,211,88,55.39350632,23.83880982,15.36343935,5.404244519,211,64.50731174,48.65291,2.418053,"48.65291, 2.418053"
2,341321,LA GRANGE,ILE-DE-FRANCE,FERME DE L'AYAU,77390,Roissy-en-Brie,22747,77,851,Paris,10949158,03-Grande couronne,1,192,53,676,12511,6912,81.00405093,De 10 à 20 000 entrées,,,NON,,FIXE,,B,157,129,1,35.42830099,42.83009938,18.28679602,3.454803597,44,12.97681022,48.793178,2.648662,"48.793178, 2.648662"
2,356871,TRIANON,ILE-DE-FRANCE,3 BIS RUE MARGUERITE RENAUDIN,92071,Sceaux,20721,92,851,Paris,10949158,02-Petite Couronne,1,270,48,1166,49976,29483,69.50785198,De 40 à 50 000 entrées,,,C,JPPR,FIXE,,B,242,158,8,63.3368984,14.70160428,13.67486631,8.286631016,190,75.45240642,48.777656,2.292628,"48.777656, 2.292628"
2,368403,SALLE PAUL ELUARD,ILE-DE-FRANCE,PLACE MARCEL POINTET,93072,Stains,39277,93,851,Paris,10949158,02-Petite Couronne,1,699,29,167,9528,5474,74.05918889,De 5 à 10 000 entrées,,,NON,,FIXE,,B,80,60,1,32.24494166,36.92324162,25.37201584,5.459800878,20,22.12825179,48.951678,2.381372,"48.951678, 2.381372"
2,370073,ESPACE JEAN-MARIE POIRIER,ILE-DE-FRANCE,ESPLANADE DU 18 JUIN 1940,94071,Sucy-en-Brie,27318,94,851,Paris,10949158,02-Petite Couronne,1,205,46,374,18300,7840,133.4183673,De 10 à 20 000 entrées,,,NON,,FIXE,,B,150,122,1,69.74296206,17.26438188,10.94859241,2.044063647,73,43.54345165,48.772452,2.512597,"48.772452, 2.512597"
2,379671,LES TROIS PIERROTS,ILE-DE-FRANCE,6-8 RUE DU MONT VALERIEN,92064,Saint-Cloud,30115,92,851,Paris,10949158,02-Petite Couronne,2,466,30,844,17044,19156,-11.02526624,De 10 à 20 000 entrées,,,C,,FIXE,,B,142,99,37,58.36175396,12.91108404,19.73812424,8.989037759,90,55.11571255,48.852362,2.216385,"48.852362, 2.216385"
2,386873,LES 4 PERRAY,ILE-DE-FRANCE,44-46 AVENUE GABRIEL PERI,91549,Sainte-Geneviève-des-Bois,36190,91,851,Paris,10949158,03-Grande couronne,4,731,53,4686,50349,8766,474.366872,De 50 à 80 000 entrées,,,NON,,FIXE,,B,231,182,103,40.72826306,45.51543272,9.152713335,4.603590882,87,8.367964495,48.647173,2.327732,"48.647173, 2.327732"
2,406812,CINES CARNE,ILE-DE-FRANCE,PLACE MARCEL CARNE,91570,Saint-Michel-sur-Orge,21441,91,851,Paris,10949158,03-Grande couronne,3,496,50,2841,48190,32429,48.60156033,De 40 à 50 000 entrées,,,C,RDJPPR,FIXE,,B,302,206,41,65.56178132,19.61340264,10.57854587,4.246270168,222,69.89356196,48.637713,2.320768,"48.637713, 2.320768"
2,437561,STUDIO DES CHAMPS LASNIERS,ILE-DE-FRANCE,AVENUE DU BERRY,91692,Les Ulis,25299,91,851,Paris,10949158,03-Grande couronne,1,210,49,681,12771,8973,42.32698094,De 10 à 20 000 entrées,,,NON,,FIXE,,B,195,143,0,53.33731225,22.69969163,14.14503133,9.817964787,115,52.72058092,48.682507,2.169714,"48.682507, 2.169714"
